Business name,Google Search - Mobile,,Google Search - Desktop,,Google Maps - Mobile,,Google Maps - Desktop,,Calls,,Directions,,Website clicks,
,Number of people that viewed your Business Profile on Google Search using Mobile,,Number of people that viewed your Business Profile on Google Search using Desktop,,Number of people that viewed your Business Profile on Google Maps using Mobile,,Number of people that viewed your Business Profile on Google Maps using Desktop,,Number of interactions with the call button from your Business Profile,,Number of requests for directions made from your Business Profile,,Number of interactions with the website button from your Business Profile,
,February,March,February,March,February,March,February,March,February,March,February,March,February,March
Radiant Dental Care | Dental Clinic in Nanganallur,610,745,243,310,832,848,83,104,39,42,282,265,17,13
Radiant Dental Care | Dental Clinic in Siruseri,401,442,134,128,674,733,58,73,39,74,180,168,19,9
Radiant Dental Care | Dental Clinic in Adyar,930,3721,470,509,732,801,123,148,45,58,225,273,17,39
Radiant Dental Care | Dental Clinic in Chrompet,1162,1386,270,345,991,973,103,104,62,85,233,214,22,14
Radiant Dental Care | Dental Clinic in Medavakkam,623,771,242,333,1059,1142,110,140,80,90,317,283,13,22
Radiant Dental Care | Dental Clinic in Guduvanchery,861,5806,168,203,863,775,80,83,130,191,270,243,25,53
Radiant Dental Care | Dental Clinic in Tambaram East,1288,1788,459,536,1048,1085,122,138,59,79,246,256,29,36
Radiant Dental Care | Dental Clinic in Navalur(OMR),532,603,99,132,599,571,41,56,46,52,80,56,3,5
Radiant Dental Care | Dental Clinic in Perungudi(OMR),638,863,267,406,1184,1268,129,161,43,73,279,264,22,18
