Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
,"Asian Dental | Best Dental Clinic In Mg Road, Vijayawada","GJ2W+FG Vijayawada, Andhra Pradesh, First Floor, Sushma Plaza Opposite:, Murali Fortune Park, Door No : 40-6-31, MG Road, vijayawada, Andhra Pradesh 520010",,2186,505,2886,168,127,0,0,299,60,0,0,0
17897232751667771847,Asian Dental | Best Dental Clinic In Kukatpally,"2nd floor, above Karachi Bakery, Unit No. HIG-485, JNTU Hitex Rd,, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, Hyderabad, Telangana 500085",,125,80,1363,90,34,0,0,192,24,0,0,0
,Asian Dental | Best Dental Clinic In Kondapur,"Ravi Enclave, Amplio Building, 1st Floor,, Opp, Aparna Towers Rd, Hanuman Nagar,, Kondapur, Hyderabad, Telangana 500084",,1246,479,1271,115,56,0,0,310,32,0,0,0
,"Asian Dental Clinic | Best Dental Clinic in Ramavarappadu, Vijayawada","4-84,CNG Petrol bunk Road, Ramavarappadu, Vijayawada, Andhra Pradesh 521108",,468,69,3879,86,15,0,0,177,5,0,0,0
